path,format,department,size_bytes
engineering/api_dependencies.csv,csv,engineering,790
engineering/data_platform_runbook.md,md,engineering,4030
engineering/datacraft_migration_complete.txt,txt,engineering,1716
engineering/datacraft_original_architecture.md,md,engineering,3025
engineering/nexusflow_api_spec.json,json,engineering,1257
engineering/nexusflow_architecture.md,md,engineering,5764
engineering/nexusflow_v21_postmortem.txt,txt,engineering,5672
engineering/on_call_schedule_aug2023.csv,csv,engineering,563
engineering/project_phoenix_migration.md,md,engineering,3873
engineering/rfc_001_event_schema.md,md,engineering,4001
engineering/security_audit_2023.txt,txt,engineering,5577
executive/board_meeting_april_2023.txt,txt,executive,2954
executive/company_strategy_2024.txt,txt,executive,4172
executive/founding_story.txt,txt,executive,3501
executive/q3_2023_allhands_notes.txt,txt,executive,3479
finance/budget_allocation_2023.csv,csv,finance,653
finance/q3_2023_finance_report.txt,txt,finance,3540
finance/revenue_by_product_2023.csv,csv,finance,498
finance/series_b_investor_update.txt,txt,finance,2402
finance/series_c_announcement.txt,txt,finance,2833
finance/vendor_contracts_summary.csv,csv,finance,790
hr/datacraft_employee_integration.txt,txt,hr,3202
hr/employee_directory.csv,csv,hr,3249
hr/offboarding_records_2023.csv,csv,hr,341
hr/onboarding_handbook.txt,txt,hr,5074
hr/org_chart_q1_2023.txt,txt,hr,2726
hr/org_chart_q3_2023.txt,txt,hr,3380
hr/promotion_announcements_2023.txt,txt,hr,4528
legal/data_processing_agreement_template.txt,txt,legal,3893
legal/datacraft_acquisition_summary.txt,txt,legal,2369
legal/ip_policy.txt,txt,legal,3272
legal/phoenix_corp_msa.txt,txt,legal,2931
product/insightlens_prd_v1.md,md,product,4353
product/nexusflow_prd_v2.md,md,product,5096
product/product_okrs_2023.json,json,product,1875
product/pulseconnect_roadmap_2024.txt,txt,product,3229
product/user_research_q3_2023.txt,txt,product,5151
sales/customer_list.csv,csv,sales,791
sales/deal_pipeline_q3_2023.csv,csv,sales,1110
sales/phoenix_corp_deal_summary.txt,txt,sales,2737
sales/q3_closed_won_report.txt,txt,sales,2531
sales/sales_playbook_2023.txt,txt,sales,5661
