company_name,industry,arr_usd,products,csm,segment,contract_start
Phoenix Corp,Financial Services,2400000,NexusFlow+InsightLens,Maya Sharma,enterprise,2022-06-01
QuantumBank,Financial Services,3200000,NexusFlow+InsightLens+PulseConnect,Maya Sharma,enterprise,2022-01-15
Apex Financial,Financial Services,240000,NexusFlow,Preet Kaur,mid-market,2022-09-15
Summit Pharma,Pharmaceutical,300000,InsightLens,Anjali Patel,mid-market,2022-12-01
OmegaLogistics,Logistics,156000,NexusFlow,Anjali Patel,smb,2023-03-01
Redwood Analytics,Technology,720000,NexusFlow+InsightLens,Anjali Patel,enterprise,2023-01-15
Coastal Bancorp,Financial Services,216000,NexusFlow,Sam Rivera,mid-market,2023-04-01
NovaTech Systems,Technology,264000,PulseConnect+InsightLens,Sam Rivera,mid-market,2023-05-01
Ironclad Security,Technology,384000,NexusFlow,Anjali Patel,mid-market,2023-06-15
TechVenture AI,Technology,420000,NexusFlow+InsightLens,Maya Sharma,mid-market,2023-07-01
GreenLeaf Retail,Retail,180000,InsightLens,Maya Sharma,mid-market,2023-07-15
Meridian Health,Healthcare,360000,NexusFlow,Maya Sharma,mid-market,2023-08-01
Harbor Logistics,Logistics,96000,PulseConnect,Maya Sharma,smb,2023-08-01
Cascade Media,Media,144000,InsightLens,Maya Sharma,smb,2023-08-15
Pinnacle Mfg,Manufacturing,192000,NexusFlow,Maya Sharma,mid-market,2023-09-01
Stellarpath,SaaS,60000,PulseConnect,Maya Sharma,smb,2023-09-15
BlueRidge Energy,Energy,480000,NexusFlow+InsightLens,Sam Rivera,mid-market,2023-10-01
Pacific Dynamics,SaaS,48000,PulseConnect,Sam Rivera,smb,2023-10-15
Northgate Bank,Financial Services,840000,NexusFlow,Anjali Patel,enterprise,2023-11-01
Crestwood Pharma,Pharmaceutical,300000,InsightLens,Sam Rivera,mid-market,2023-12-01
